AmountSaved,Shranjeni znesek
ScotApp_605,Uredi Vnos teže
ScotApp_405,Napaka pri branju kartice.\n*  Poskusite z drugo kartico\n   -ali-\n*  Plačajte z gotovino\n   -ali-\n*  Pokličite za pomoč
ScotApp_491,"Prosim, vzemite vašo kartico."
ScotApp_818,"Prosim, počakajte na asistenta.\nAsistenca je potrebna za:"
ScotApp_1796,"Ali omejiti na ""Samo gotovina."""
ScotApp_438,Vaše stanje kuponov za živila je manjše od potrebnega.\nŽelite za ta nakup uporabiti vašo preostalo ugodnost %s kupona za živila.
ScotApp_1596,"Bi želeli shraniti %s kot vaš priljubljeni jezik na vašem %s?\nIzberite ""Da"" ali ""Ne""."
ScotApp_766,%s bo zaračunanih na vaš račun.
ScotApp_166,"Asistenca prihaja.\nProsim, nadaljujte z nakupom."
ScotApp_413,Vzemite vašo kartico zvestobe.\nUporabljene bodo znižane cene.
ScotApp_1797,"Popravljanje ni odpravilo napake.\nProsim, poskusite ponovno ali omejite na ''Samo gotovina''."
ScotApp_178,Počakajte na odobritev trgovine.\nOdobritev je potrebna za:
ScotApp_790,"Vaša kartica je bila zavrnjena.\nProsim, izberite drug način plačila."
ScotApp_1794,Ta naprava bo tokrat sprejela le gotovino. \nKreditna ali plačilna kartica ne more biti obdelana.\nŽelite nadaljevati?
ScotApp_412,"S tem izdelkom boste presegli nakup %s.\nProsim, plačajte zdaj in kupite ostale izdelke ločeno."
ScotApp_546,"Niste dovolj stari za nakup tega izdelka.\nProsim, položite ga na stran in nadaljujte z nakupom."
ScotApp_553,"Kuponi bodo sprejeti ob koncu vašega nakupa.\nProsim, položite jih na stran in nadaljujte."
ScotApp_211,"Obdelovanje ...\nProsim, počakajte."
ScotApp_1400,Oddaljeni udeleženec
ScotApp_1754,"Črke se ne ujemajo z izdelkom.\nProsim, poskusite znova."
ScotApp_1859,"Boste kupili celoten zaboj %s? Izberite ""Da"" ali ""Ne""."
ScotApp_533,"Trenutno ne morete kupiti tega izdelka.\nProsim, položite ga na stran in nadaljujte z nakupom."
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Izberite embalažo za vaš: %s
ScotApp_703,"Uporabite tipkovnico za PIN številko. Pritisnite ""Prekliči"" na tipkovnici za PIN številko, da prekličete plačilo."
ScotApp_125,"Vnesite rojstni datum stranke %s in pritisnite ""Odobri"""
ScotApp_1853,"Vnesite datum rojstva stranke %s in pritisnite ""Vnesi"". "
ScotApp_654,Datum bi moral biti v %s formatu.Vrednost vnesena v: %s
ScotApp_560,Ta sistem ne sprejema kuponov.
ScotApp_1788,Je %d pravilno? \n\nVašemu skupnemu znesku bo dodana %s šarža.
ScotApp_1358,Znesek darilne kartice %s je bil uporabljen za vaš nakup. \n\nVaše stanje na darilni kartici je %s.
ScotApp_167,Kupon se ne ujema z nakupljenim izdelkom.\n\nTa kupon ne more biti sprejet.
ScotApp_164,"Sistem ne prepozna te kode izdelka.\n\nPrepričajte se, da je vnesena pravilna številka."
ScotApp_547,"Napačna številka upravitelja in geslo.\n\nProsim, poskusite ponovno."
ScotApp_442,%s vašega nakupa je lahko plačanega s kuponi za živila.\n\n%s
ScotApp_443,%s bo zaračunanih na vaš račun.\n\nSe strinjate?
ScotApp_700,Izdelka ni mogoče prodati v tej vrsti.\nPomoč prihaja.\n\nPoložite izdelek na stran in nadaljujte z nakupom.
ScotApp_165,Sistem ne prepozna tega izdelka.\nAsistenca prihaja.\n\nPoložite izdelek na stran in nadaljujte z nakupom.
ScotApp_182,"Znesek, ki ste ga vnesli za ta kupon, je bil previsok.\n\nTa sistem ne more sprejeti tega kupona."
ScotApp_733,Zavrnjena kartica.\nUporabite drugo kartico ali plačajte z gotovino.
ScotApp_812,"Hvala, da uporabljate NCR SelfServ Checkout.\nProsim, dajte vašo darilno kartico asistentu."
ScotApp_1826,Ali bi želeli shraniti vaše prednostne nastavitve na vašo kartico zvestobe?
ScotApp_1852,"Prosimo, odstranite preklican izdelek iz vrečke."
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,"Prosim, počakajte ..."
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Nastavi nalagalnik
XM_SetupLoaderNotEmptyV6HW,"\nWhen swapping loaders, because the current loader\ncount is greater than zero, manually remove the notes from the current loader and add the notes to the new loader."
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
