AmountSaved,Sutaupyta suma
ScotApp_1046,Pateikite %s kasininkui pagalbos vietoje.
ScotApp_1696,Būklė ištaisyta
ScotApp_1112,%s @ %s %s/%s\t%s
ScotApp_1158,PIN klaviatūros / EFT įtaiso klaida
ScotApp_1065,1065unused
ScotApp_1321,Baigiamas mokėjimas vaučeriu.  Balansas
ScotApp_764,764unused
ScotApp_1530,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1784,PREKĖ SU SUDĖTINE PAKUOTE
ScotApp_1070,1070unused
ScotApp_49,49unused
ScotApp_1111,  Kiekis %s @ %s/%s\t%s
ScotApp_753,Vakar pavalandžiui
ScotApp_653,"Įveskite kupono vertę centais ir palieskite ""Įvesti""."
ScotApp_453,Monetų priėmimo įtaiso būklė: pilnas
ScotApp_353,Grįžti atgal
ScotApp_253,253unused
ScotApp_153,153unused
ScotApp_1320,Pradedamas mokėjimas vaučeriu.
ScotApp_953,"Išjunkite galinį įrenginį ir paleiskite jį iš naujo:\n* Pasukite prižiūrėtojo užraktą į padėtį ""S"" ARBA paspauskite prižiūrėtojo mygtuką.\n* Pasirinkite ""Kitą Kartą Paleisdami iš Naujo įjunkite ADD"". Pasirinkite ""Taip"", kad patvirtintumėte.\n* Pasirinkite ""Visos sistemos išjungimas"".\n* Kai vaizdas ekrane dingsta, išjunkite galinį įrenginį ties nenutrūkstamo energijos tiekimo šaltiniu arba maitinimo laido kištuku.\n* Įjunkite galinį įrenginį. Patikrinkite įvykių žiūryklę. Jei klaida vėl įvyksta, kreipkitės dėl techninės priežiūros."
ScotApp_853,Keturios prekės
ScotApp_1845,Kvitas
ScotApp_1537,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_732,732unused
ScotApp_632,632unused
ScotApp_532,Apribota prekė
ScotApp_432,EBT
ScotApp_332,Išeinama iš pagalbos režimo
ScotApp_232,"* Išimkite banknotų priėmimo įtaisą ir kasetę.\n* Patikrinkite, ar kasetėje nesusidarė kamštis.\n* Atidarykite prieigos dureles priėmimo įtaiso viršuje ir patikrinkite, ar nėra užstrigusių banknotų.\n* Tvirtai uždarykite prieigos dureles.\n* Vėl įdėkite priėmimo įtaisą ir kasetę."
ScotApp_132,132unused
ScotApp_1110,  Kiekis %s @ %s/vnt\t%s
ScotApp_1242,DEBETAS
ScotApp_1285,Populiarios
ScotApp_932,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s;LSWND3=%s;
ScotApp_832,832unused
ScotApp_1327,"Palieskite pageidaujamą ataskaitą, tada palieskite ""Parengti ataskaitą""."
ScotApp_711,711unused
ScotApp_611,Pasirinkite reikiamą funkciją.
ScotApp_511,Palyginkite kliento parašą su esančiu kortelėje.
ScotApp_411,Paimkite kliento kortelę
ScotApp_311,dėžė tuščia
ScotApp_111,Nustatyti svarstykles iš naujo
ScotApp_1789,KUPONAS
ScotApp_1536,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_911,Apsaugos išjungimas
ScotApp_811,"Nuskenuokite savo dovanų kortelę. Patikrinkite, ar jūsų krepšyje nėra daugiau prekių."
ScotApp_1628,CPU klaida
ScotApp_1523,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1349,%s\n %s\n%s %s laukiama\n%s %s nustatyta
ScotApp_1892,Apsaugos analizė
ScotApp_1279,PATIKRINIMAS
ScotApp_1535,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1057,1057unused
ScotApp_1441,Monetų tvarkymas
ScotApp_1313,"* Patikrinkite, ar spausdintuve nesusidarė popieriaus kamščiai.\n* Vėl įdėkite popierių.\n* Tinkamai išjunkite ir įkraukite iš naujo galinį įrenginį."
ScotApp_1681,Banknotų grąžinimo į apyvartą įtaiso klaida
ScotApp_1069,1069unused
ScotApp_1325,Padėkite prekę ant svarstyklių.
ScotApp_1278,USERDEFINED20
ScotApp_1103,Ankstesnis
ScotApp_1534,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_1056,1056unused
ScotApp_1312,"* Išimkite banknotų kasetę.\n* Atidarykite ir išimkite banknotus.\n* Uždarykite ir vėl įdėkite į banknotų priėmimo įtaisą.\n* Patikrinkite, ar įsijungia banknotų priėmimo įtaiso variklis ir ar LED rodiklis šviečia žaliai."
ScotApp_1265,USERDEFINED7
ScotApp_1850,"Įtaisai, kuriuose aptikta klaidų"
ScotApp_1213,NEŽINOMA
ScotApp_1521,"Kad ištaisytumėte klaidą, prašome žr. įtaiso vadovą."
ScotApp_139,Paimkite kvitą
ScotApp_1043,%s iš kliento priimta(-s) gali būti tik naudojant pagalbos teikimo režimą.
ScotApp_1401,Teikiama pagalba.\n\nPalaukite...
UnknownItemMessage,Tuoj sulauksite pagalbos.\n\nPadėkite prekę į šalį ir tęskite.
TimeRestrictedItemMessage,Jūs negalite nusipirkti šios prekės dabar.\n\nPadėkite prekę į šalį ir tęskite.
ItemQuantityExceededMessage,Viršijote leidžiamą šios prekės kiekį.\n\nPrašome atidėti ją į šalį ir tęsti toliau.
WeightMismatch,Tikrinamas prekės svoris.\n\nPalaukite...
ItemQuantityExceeded,Kiekio riba viršyta
WaitForRemoteAssistanceTitle,Nuotolinis patarnautojas
ScotApp_489,"Dėkojame, kad naudojatės NCR SelfServ Checkout."
ScotApp_273,Neskenuokite.\nAtidėkite prekę į šalį.
ScotApp_431,Netinkama lojalumo kortelė. Prašome patikrinti.
ScotApp_410,Pagalbos prašo:
ScotApp_1739,"Palaukite patarnautojo.\nSistema negalėjo patikrinti jūsų maišų.\nJei pakavimo zonoje netyčia padėjote ką nors kitą (ne maišą), prašome dabar tai nuimti."
ScotApp_73,Grįžti į pirkimo režimą
ScotApp_772,Pateikta užklausa laikinai sustabdyti esamą operaciją.\nPatvirtinkite arba atšaukite šią užklausą.
ScotApp_530,"Kortelė nenuskaityta.\nNaudokite kitą kortelę\n   -arba-\nsumokėkite pinigais,\n   -arba-\nkvieskite pagalbą."
ScotApp_524,Įvestas neteisingas PIN.\nVėl įveskite PIN kodą.
ScotApp_397,"Kad parduotumėte prekes, naudokite pagalbos režimą.\nKitas prekes, kurios neparduodamos, paimkite."
ScotApp_171,"""%s""\n\nAr %d – teisinga?"
ScotApp_1374,\n---------------------------------------\n
ScotApp_1646,Operacija laikinai sustabdyta. Padėkite visas prekes į šalį.
ScotApp_495,Viršijote leidžiamą šios prekės kiekį.\n\nPrašome atidėti ją į šalį ir tęsti toliau.
ScotApp_529,"Išimkite kortelę, tada...\nįdėkite kitą kortelę\n   -arba-\nsumokėkite pinigais,\n   -arba-\nkvieskite pagalbą."
ScotApp_275,Mokėjimo kortelių nedėkite.\nPaimkite savo kortelę.
ScotApp_1891,Sistema vykdo patikrinimą. \nPalaukite...
ScotApp_1750,"Palaukite, kol apdorosime jūsų piršto atspaudą."
ScotApp_169,Ar norite tęsti pirkimą?
ScotApp_415,Paimkite kliento kortelę.\nKortelė buvo įdėta prieš tai.
ScotApp_1793,Kol kas šis aparatas priima tik kreditines ir debetines korteles.n\n\Ar norite tęsti?
ScotApp_477,Kuponų atidavimas.\nKai atspausdinamas jūsų kvitas:\n-- Paimkite savo prekes.\n-- Kvitą ir kuponus nuneškite į mokėjimo skyrių.
ScotApp_177,Panaikinti visi pirkiniai. Atidėkite visas prekes į šalį.
ScotApp_656,Prašome padėti <%s> į šalį.\nJums padės parduotuvės darbuotojas.
ScotApp_1709,Kol kas banknotų ir monetų nedėkite.\nPrašome paimti grąžintus pinigus.\nBanknotai išduodami po skeneriu.
ScotApp_435,"Pasirinkite pašalpos tipą.\nJei norite naudoti maisto talonus, juos reikia naudoti prieš kitas pašalpas."
ScotApp_808,"Pateikite prekes su apsauginėmis žymomis patarnautojui, kad šis žymas nuimtų."
ScotApp_294,"Jei jums reikalinga parduotuvės darbuotojo pagalba, palieskite mygtuką ""Kviesti pagalbą""."
ScotApp_1287,Palaukite ...\nTikrinamas prekės svoris.
ScotApp_525,"Įvestas neteisingas PIN.\nIšimkite kortelę, tada...\nįdėkite kitą kortelę\n   -arba-\nsumokėkite pinigais"
ScotApp_480,"Palieskite ""OK"", tada pateikite savo operacijos kvitą ir prekes kasininkui."
ScotApp_1751,* Viršyta didžiausia leidžiama vertė.\n* Nuimkite prekes nuo apsauginių svarstyklių.
ScotApp_175,"Ar norite panaikinti\n""%s""\niš kvito?"
ScotApp_1746,Pirštų atspaudų serveris nepasiekiamas.\nPamėginkite dar kartą.
ScotApp_1839,Palaukite kasininko.\nNeskenuokite. Atidėkite prekę į šalį.
ScotApp_501,Prašome pasirašyti kvitą ir palaukti parduotuvės darbuotojo patvirtinimo.
ScotApp_414,Paimkite kliento kortelę.\nDabar jūsų pasirinktiems pirkiniams nuolaidų pritaikyti negalima. Jos jums bus išsiųstos.
ScotApp_563,"Inicijuojant programą ""Hard Totals"" įvyko klaida.\nDabar programa bus išjungta."
ScotApp_263,"Negalima anuliuoti prekės, kol nebus anuliuotas jos kuponas.\nAnuliuokite prekės kuponą."
ScotApp_800,"Prašome patikrinti savo krepšį.\n\nNuskenuokite papildomas prekes dabar arba\npalieskite ""OK"", kad galėtumėte sumokėti."
ScotApp_134,Vyksta parduotuvės administravimas\nPrašome palaukti.
ScotApp_620,Įvesti nuokrypį
ScotApp_161,"%s\nKlaviatūra įveskite kiekį ir palieskite ""OK""."
ScotApp_440,Jūsų pašalpos pinigais balansas yra mažesnis nei reikalinga.\nAr norite panaudoti likusią pašalpos pinigais sumą – %s – kad sumokėtumėte dalį šių pirkinių kainos?
ScotApp_184,%s bus nuskaityta nuo kortelės.
ScotApp_274,Grynųjų nedėkite.\nPaimkite savo grynuosius pinigus.
ScotApp_1744,Jūsų piršto atspaudo atpažinti nepavyko.\nPamėginkite dar kartą.
ScotApp_160,Prekė atšaukta.\nTuoj sulauksite pagalbos.\nAtidėkite prekę į šalį ir skenuokite kitus pirkinius.
ScotApp_1795,"Arba apriboti ""Tik kortelės""."
ScotApp_159,Prekės kaina nežinoma.\nTuoj sulauksite pagalbos.\nAtidėkite prekę į šalį ir skenuokite kitus pirkinius.
ScotApp_458,Pasirinkite pašalpos tipą.\nSu šia pirkimo procedūra maisto talonų naudoti negalima.
ScotApp_1329,Palaukite ...\nTikrinamas prekės svoris.\nSupakuotas dvigubas svoris.
ScotApp_407,Kortelės nuskaitymo klaida.\n*  Naudokite kitą kortelę\n   -arba-\n*  kvieskite pagalbą
ScotApp_706,"Jūsų maisto talonų balansas yra mažesnis nei suma už šiuos pirkinius.\nJei norite naudoti kitokį mokėjimo būdą, palieskite ""OK""."
ScotApp_606,Ištrinti svorio įvestis
ScotApp_906,Paimkite savo prekes.
ScotApp_705,"Jūsų pašalpos pinigais balansas yra mažesnis nei suma už šiuos pirkinius.\nJei norite naudoti kitokį mokėjimo būdą, palieskite ""OK""."
ScotApp_605,Pridėti svorio įvestį
ScotApp_405,Kortelės nuskaitymo klaida.\n*  Naudokite kitą kortelę\n   -arba-\n*  sumokėkite pinigais\n   -arba-\n*  kvieskite pagalbą
ScotApp_491,Paimkite savo kortelę.
ScotApp_818,Palaukite kasininko.\nPagalbos prašo:
ScotApp_1796,"Arba apriboti ""Tik grynieji""."
ScotApp_438,Jūsų maisto talonų balansas yra mažesnis nei reikia.\nAr norite panaudoti likusią maisto talonų sumą – %s – kad sumokėtumėte dalį šių pirkinių kainos?
ScotApp_1596,"Ar norėtumėte išsaugoti kalbą - %s – kaip jūsų pageidaujamą kalbą, naudojamą jūsų įtaise: %s?\n Pasirinkite ""Taip"" arba ""Ne""."
ScotApp_766,%s bus nuskaityta nuo jūsų sąskaitos.
ScotApp_166,Tuoj sulauksite pagalbos.\nSkenuokite kitus savo pirkinius.
ScotApp_413,Paimkite kliento kortelę.\nBus pritaikytos kainos su nuolaidomis.
ScotApp_1797,"Atitaisomasis veiksmas nepanaikino klaidos.\nPabandykite dar kartą arba įveskite apribojimą ""Tik grynieji""."
ScotApp_178,Laukite parduotuvės darbuotojo patvirtinimo.\nPatvirtinti reikia:
ScotApp_790,Jūsų kortelė nepriimta.\nPasirinkite kitokį mokėjimo metodą.
ScotApp_1794,Kol kas šis aparatas priima tik grynuosius pinigus. \nKreditinės ir debetinės kortelės neapdorojamos.\n\Ar norite tęsti?
ScotApp_412,"Dėl šios prekės jūsų pirkinių suma viršys %s.\nSumokėkite dabar, o kitas prekes pirkite atskirai."
ScotApp_546,"Šios prekės įsigyti negalite, nes jūsų amžius nepakankamas.\nPrašome atidėti ją į šalį ir tęsti pirkimą toliau."
ScotApp_553,Kuponai priimami pirkimo procedūros pabaigoje.\nPrašome atidėti juos į šalį ir tęsti toliau.
ScotApp_211,Apdorojama...\nPrašome palaukti.
ScotApp_1400,Nuotolinis patarnautojas
ScotApp_1754,Raidės neatitinka prekės.
ScotApp_1859,"Pirkti visą dėžę prekės %s? Pasirinkite ""Taip"" arba ""Ne""."
ScotApp_533,Šios prekės dabar įsigyti negalite.\nPrašome atidėti ją į šalį ir tęsti pirkimą toliau.
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Pasirinkite pakuotę šiai prekei: %s
ScotApp_703,"Naudokite PIN klaviatūrą. Jei mokėjimą norite panaikinti, PIN klaviatūroje paspauskite mygtuką ""Panaikinti""."
ScotApp_125,"Įveskite kliento gimimo datą %s ir palieskite ""Patvirtinti"""
ScotApp_1853,"Įveskite kliento gimimo datą %s ir palieskite ""Įvesti"". "
ScotApp_654,Data turi būti %s formatu.Vertė įvesta: %s
ScotApp_560,Ši sistema kuponų nepriima.
ScotApp_1788,Ar %d teisinga? \n\nMokestis už maišus (%s) bus pridėtas prie jūsų sumos.
ScotApp_1358,Mokant už jūsų pirkinį buvo panaudota %s suma iš dovanų kortelės. \n\nJūsų dovanų kortelės balansas yra %s.
ScotApp_167,Kuponas neatitinka jokios nupirktos prekės.\n\nŠio kupono priimti negalima.
ScotApp_164,"Nežinoma prekė.\n\nPatikrinkite, ar įvedėte teisingus skaičius."
ScotApp_547,Neteisingas operatoriaus numeris ir slaptažodis.\n\nPamėginkite dar kartą.
ScotApp_442,%s iš jūsų pirkinių kainos gali būti sumokėta maisto talonais.\n\n%s
ScotApp_443,%s bus nuskaityta nuo jūsų sąskaitos.\n\nGerai?
ScotApp_700,Prekės parduoti šiame kasoje negalima.\nTuoj sulauksite pagalbos.\n\nAtidėkite prekę į šalį ir tęskite pirkimą.
ScotApp_165,"Nežinoma prekė.\nTuoj sulauksite pagalbos.\n\nAtidėkite ją į šalį ir palieskite ""Gerai""."
ScotApp_182,"Suma, kurią įvedėte šiam kuponui, buvo per didelė.\n\nŠio kupono priimti negalima."
ScotApp_733,Kortelė nepriimta.\nNaudokite kitą kortelę arba sumokėkite pinigais.
ScotApp_812,"Ačiū, kad naudojate NCR SelfServ Checkout.\nPrašome pateikti savo dovanų kortelę kasininkui."
ScotApp_1826,Ar norite išsaugoti savo parinktis savo lojalumo kortelėje?
ScotApp_1852,Pašalinkite anuliuotą prekę iš pakavimo zonos.
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Prašome palaukti...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Nustatyti įkėliklį
XM_SetupLoaderNotEmptyV6HW,"\nWhen swapping loaders, because the current loader\ncount is greater than zero, manually remove the notes from the current loader and add the notes to the new loader."
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
