AmountSaved,Gespart
ScotApp_413,Nehmen Sie Ihre Kundenkarte.\nRabattierte Preise werden ausgewiesen.
ScotApp_1797,"Die Korrekturmaßnahme hat den Fehler nicht behoben.\nBitte nochmals versuchen oder auf ""Nur Bargeld"" beschränken."
ScotApp_178,Warten Sie auf einen Mitarbeiter.\nÜberprüfung erforderlich für:
ScotApp_790,Ihre Karte ist abgelaufen.\nBitte wählen Sie eine andere Zahlungsart.
ScotApp_1794,Diese Kasse akzeptiert derzeit nur Bargeld.\nGutschrift oder Lastschrift kann nicht bearbeitet werden.\nMöchten Sie fortfahren?
ScotApp_412,Mit diesem Artikel überschreiten Sie %s.\nBitte zahlen sie jetzt oder kaufen Sie andere Artikel separat.
ScotApp_546,Sie sind nicht alt genug diesen Artikel zu kaufen.\nArtikel zur Seite legen und weitermachen.
ScotApp_553,Coupons werden am Ende Ihres Einkaufs akzeptiert.\nBitte zur Seite legen und weitermachen.
ScotApp_211,Verarbeitung...\nBitte warten.
ScotApp_1400,Dezentraler Bediener
ScotApp_1754,Buchstaben stimmen mit keinem Artikel überein.
ScotApp_1859,"Voller Kasten von %s? ""Ja"" oder ""Nein""."
ScotApp_533,Sie können diesen Artikel z. Zt. Nicht kaufen.\nArtikel zur Seite legen und weitermachen.
ScotApp_1763,e=d=%5.3fkg Max %5.3f kg min %3.1f kg Nmax %4.0f
ScotApp_1762,e=d=%4.2flb Max %4.2f lb min %3.1f lb Nmax %4.0f
ScotApp_1764,e = d = %4.2f lb Max %4.2f lb Min %3.1f lb Nmax %4.0f
ScotApp_1765,e = d = %5.3f kg Max %5.3f kg Min %3.1f kg Nmax %4.0f
ScotApp_305,Behälter wählen für: %s
ScotApp_703,"Abschluss über PIN-Tastatur. 'Löschen' an PIN-Tastatur löscht die Zahlung."
ScotApp_125,"Geburtsdatum des Kunden eingeben %s und ""Bestätigen"" berühren."
ScotApp_1853,"Geburtsdatum %s des Kunden eingeben und ""Eingabe"" berühren. "
ScotApp_654,Datum soll in %s Format sein.Eingegebener Wert in: %s
ScotApp_560,Dieses System akzeptiert keine Coupons.
ScotApp_1788,Ist %d richtig? \n\nPlastiktute werden der Gesamtsumme mit %s hinzugefugt. 
ScotApp_1358,Geschenkgutscheinbetrag in Höhe von %s wurde angenommen.\n\nRestbetrag auf Ihrem Gutschein: %s.
ScotApp_167,Coupon passt zu keinem Artikel.\n\nCoupon kann nicht akzeptiert werden.
ScotApp_164,System erkennt die Artikel-Nummer nicht.\n\nPrüfen Sie ob diese richtig eingegeben wurde.
ScotApp_547,Falsche Bediener-Nummer und Passwort.\n\nBitte wiederholen.
ScotApp_442,%s Ihres Kaufs können mit Lebensmittelmarken bezahlt werden.\n\n%s Ist das OK?
ScotApp_443,%s wird Ihrem Konto belastet.\n\nIst das OK?
ScotApp_700,Artikel kann an dieser Kasse nicht verkauft werden.\nHilfe kommt.\n\nArtikel zur Seite legen und weitermachen.
ScotApp_165,System erkennt diesen Artikel nicht.\nHilfe kommt.\n\nArtikel zur Seite legen und weitermachen.
ScotApp_182,Der für diesen Coupon eingegebene Betrag ist zu hoch.\n\nCoupon kann nicht akzeptiert werden.
ScotApp_733,Ihre Karte war abgelaufen.\nandere Karte einführen -oder- bezahlen Sie bar.
ScotApp_812,Vielen Dank für die Benutzung von NCR SelfServ Checkout.\nBitte nehmen Sie Ihren Geschenkgutschein mit zur Kasse.
ScotApp_1826,Möchten Sie Ihre Favoriten auf Ihrer Treue-Karte speichern?
ScotApp_1852,Bitte entfernen Sie den stornierten Artikel aus der Verpackungszone.
QRCodeErrorText,QR Code Error
ScanQRCodeInstruction,Scan this code to complete\nyour Mobile shopping.
ScotApp_1896,Transferring items from mobile cart.
ScotApp_1897,Bitte warten...
ScotApp_1898,Mobile Cart
ScotApp_1899,Mobile Audit
ScotApp_1900,Mobile Shopper Audit
ScotApp_1901,"Touch ""OK"" then use Attendant Handset to complete audit."
ScotApp_1902,Begin Mobile Transaction
ScotApp_1903,End Mobile Transaction
ScotApp_1904,%d Items Sold
ScotApp_1905,Scan barcode to complete your Mobile checkout.
ScotApp_1906,Mobile cart transfer is complete.
ScotApp_1907,\nTouch Pay or add more items.
MoveLeft,< Move
MoveRight,Move >
Accessibility,Accessibility
SearchItemCodeWatermark,Enter Item Code
ScanAndBagNoSearchKeyIn,Scan or look up item to start
ScanLookUpKeyInItem,"Scan, look up, or key in item code to start."
LookUpKeyInItem,Look up or Key in Item
ScanOrKeyInItem,Scan or Key in Item
XM_MenuSetupLoaderV6HW,Lader-Setup
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
