AmountSaved,Kazanılan Tutar
XM_PendingCashRemoveV6HW,"Kasa kapısını açın Banknot Kusunu ve tüm banknotları çıkarın.\nBoş Banknot Kutusunu yerine yerleştirin.\n\nİşlemi tamamladığınızda ""OK"" a basın."
XM_LeadThruResetNoteBoxFunctionV6HW,"Fonksiyonları Sıfırla\n•   Banknot Kutusu adedini sıfıra ayarlayın.\n•   İşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_AllV6HW,Tümü
XM_LeadThruTransferNotesToNoteBoxFunctionV6HW,"Banknot Kutusu Transferleri\n•   Banknotları transfer etmek için ""Değişiklikleri Uygula""ya basın.\n•   İptal etmek için ""Değişiklikleri İptal Et"" e basın."
XM_ReplenishNotesFromLoaderToRecyclersPreemptiveV6HW,Yükleme işlemi yapılıyor... Lütfen bekleyin.
XM_SetupLoaderAlertConfirmationV6HW,"Yükleyiciyi Ayarla\n\nYükleyiciye doğru değerlerin girildiğinden emin olduktan sonra banknotları yüklemek için ""OK"" a basın."
XM_SetupLoaderAlertConfirmation1V6HW,"Yükleyiciyi Ayarla\n\nBanknotları yüklemek için yükleyiciye banknot ekleyip yerine yerleştiğinden emin olun ve ""OK"" a basın."
XM_SetupLoaderConfirmationV6HW,Yükleyiciyi Ayarla\n\n%s Yükleyicideki banknot Durumu:\n\nOrijinal/Başlangıç Miktarı: %s\nOrijinal/Balangıç Adedi: %d\nYükleyiciye Eklenecek Miktar: %s\nYükleyiciye Eklenecek Adet: %d\n\nVerilmek üzere ayarlanmamış banknotları yükleyicinin alt kısmına yerleştirin.  Yükleyicinin alt kısmındaki banknotlar yükleyici kapasitesine ulaşılana dek otomatik olarak sayılacak ve yüklenecektir.\n\nYükleme işlemi birkaç dakika sürebilir.
XM_SetupLoaderConfirmation1V6HW,Yükleyiciyi Ayarla\n\nTüm yükleyici banknotları otomatik olarak yüklenecek ve sayılacaktır.\n\nYükleme işlemi birkaç dakika sürebilir.
XM_PendingNotesAddedV6HW,Eklenilen varsayılan banknotlar %d - %s
XM_ProcessingCashV6HW,Nakit İşleniyor
XM_ProcessingCashLeadThruV6HW,•   Bozuk paraları Bozuk Para Alıcısına Yerleştirin.\n•   Banknotları Banknot Alıcısına Yerleştirin.
XM_SetupLoaderLeadThru1V6HW,"•   Yükleyiciye banknot eklemek için ""Değişiklikleri Uygula"" ya basın.\n•   İptal etmek için ""Değişiklikleri İptal Et"" e basın."
XM_LeadThruDispenseFunctionV6HW,Dağıtım Fonksiyonları\n•   Klavyeyi kullanarak %s banknot için miktar/adet girin.
XM_LeadThruDispenseFunction1V6HW,"Dağıtım Fonksiyonları\n•   Bozuk paraları dağıtmak için ""Değişiklikleri Uygula"" ya basın.\n•   İptal etmek için ""Değişiklikleri İptal Et"" e basın."
XM_ConfirmCoinDispenseAllV6HW,Tüm Bozuk Parayı Çıkar\n\nDağıtılacak Miktar: %s\nDağıtılacak Adet: %d
XM_DispenseOperationPreemptiveV6HW,"Bozuk para verme işlemi sürdürülüyor.\n\nDoldurma işlemi tamamlandığında bozuk paraları hazneden çıkarın ve ""OK""a basın."
XM_ConfirmCoinDispenseToBaseLevelV6HW,Bozuk Paraları Temel Seviyeye Getirin\n\nDağıtılacak Miktar: %s\nDağıtılacak Adet: %d
XM_LeadThruResetCoinHopperFunctionV6HW,"Fonksiyonları Sıfırla\n•   Bozuk para Haznesi Sayacını Sıfırlayın.\n•   İşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_ResetCoinHopperLeadThruV6HW,"Bozuk paraları bozuk para haznesinden çıkar. Değiştir\nBozuk para haznelerini boşalt.\n\nİşlemi tamamladığınızda ""OK"" a basın."
XM_LoaderCountEnteredExceededCapacityV6HW,"Girilen yükleyici adedi kapasiteyi aşıyor. İzin verilen maksimum yükleyici adedi %d'dir."
XM_CoinHopperPendingResetV6HW,Bekleyen sıfırlama %d - %s
XM_ConfirmResetCoinHopperV6HW,Bozuk Para Haznesi Sayaçlarını Sıfırla / Değerlerini Sıfırla\n
XM_ConfirmResetCoinHopper1V6HW,\n%s\nSıfırlama Miktarı: %s Adedi %d\n
XM_ConfirmResetCoinHopper2V6HW,\nSıfırlama Sonrası:\nHaznedeki Bozuk Para: %s Adedi: %d\nBozuk Para Kutusundaki Bozuk Para: %s Adedi: %d
XM_SignSigTouchDisplayV6HW,Lütfen dokunmatik ekrandan imza atın.
XM_LeadThruCashManagementErrorV6HW,Nakit Yönetimi Hatası
XM_LoanPickupUpdateFailureV6HW,Nakit yönetimi güncelleme başarısız
XM_LoanPickupUpdateNoResponseV6HW,Nakit yönetimi durumu güncellenirken POS cevap vermiyor
XM_LoanPickupUpdateFailureInstructionV6HW,"\n•   Güncellemek için ""Tekrar Dene"" ye basın.\n•   Hata tekrarlanırsa mağaza yönetimiyle bağlantı kurun.\n•   Başarılı bir güncelleme yapılmadığı sürece sorun giderilemeyecek."
XM_LoanPickupUpdateNoResponseInstructionV6HW,•   Bu hatayı derhal mağaza yönetimine bildirin.\n•   Nakit yönetimi durumu güncellenmemiş olabilir.\n•   Aygıt Fonksiyonları ekranını açın.
XM_LoanPickupUpdateNoResponseInstruction1V6HW,"•   ""Tanı Kayıt Dosyalarını Oluştur"" a, ardından ""Tüm Sistemi Kapat"" a basın.\n•   Sistemi tekrar çalıştırın.\n•   Hata tekrarlanırsa yeni bir tanı dosyası oluşturun ve servisi arayın.\n"
XM_CashManagementErrorRetryButtonV6HW,Tekrar Dene
XM_CannotCompleteTransferV6HW,Transfer tamamlanamıyor.\n Banknot kutusunda yeterli alan yok. Bu işlemi gerçekleştirmeden önce lütfen banknot kutusunu boşaltın.
XM_CashStatusLeadthruV6HW,"•   Nakit durumunu yazdır.\n•   Bozuk paraları Bozuk Para Alıcısına Yerleştirin.\n•   Banknotları Banknot Alıcısına Yerleştirin.\n•   İşlemi tamamladığınızda ""Çık"" a basın."
XM_NonDispensableCoinsV6HW,Dağıtılamayan Bozuk Paralar
XM_DispensableCoinsV6HW,Dağıtılabilir Bozuk Paralar
XM_ConfirmNoteDispenseV6HW,Banknotları Dağıt\n\nDağıtılacak Miktar: %s\nDağıtılacak Adet: %d
XM_DispenseNoteFullPreemptiveV6HW,Lütfen Banknotları Alın\n\nBanknotlar %d lik desteler halinde dağıtıldı.\nTüm banknotlar alınana kadar dağıtım durdurulacak.
XM_NoteBoxV6HW,Banknot Kutusu
XM_NoteRecyclerV6HW,Banknot Geri Dönüştürücüleri
XM_DispenseCoinsToBaseLevelV6HW,Bozuk Paraları Temel Seviyeye Getirin
XM_TransferNotesToBaseLevelV6HW,Banknotları Temel Seviyeye Transfer Et
XM_TransferAllNotesV6HW,Tüm Banknotları Transfer Et
XM_LeadThruNoteBoxTransferV6HW,"Banknot Kutusu Transferleri\n•   İstenen transfer seçeneğini seçin.\n•   İşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_LeadThruResetFunctionV6HW,"Fonksiyonları Sıfırla\n•   İstenen sıfırlama seçeneğini seçin.\n•   İşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_LeadThruDispenseFunction2V6HW,"Dağıtım Fonksiyonları\n•   Banknot türüne basın ve miktarı/adedi girin veya fonksiyon seçin.\n•   İşlemi tamamladığınızda ""Değişiklikleri Uygula"" ya basın."
XM_DispenseThresholdV6HW,Girilen sayı verilebilecek adedin üzerinde.\nGirilen maksimum adet: %d
RemoveItemFromProduceScale,Remove item from scale.
RemoveItemFromProduceScaleTitle,Remove Item
