AmountSaved,Заощаджено
ScotApp_1304,Дисконтну картку прийнято.
ScotApp_1305,Внесено %s
ScotApp_1306,Видано решту %s
ScotApp_1307,Друк чеку
ScotApp_1308,Введено ПІН
ScotApp_1309,"* Вставити касету до фіксації.\n* Перевірити мотор приймача купюр, увімкнувши його на короткий час."
ScotApp_1310,"* Вийняти приймач купюр.\n* Знову вставити приймач купюр до фіксації.\n* Переконатися, що мотор приймача купюр включився і горить зелений світлодіод."
ScotApp_1311,"* Вийняти приймач купюр.\n* Відкрити модуль приймача.\n* Перевірити на затор, знову вставити.\n* Переконатися, що мотор приймача купюр включився і горить зелений світлодіод."
ScotApp_1312,"* Вийняти купюрну касету.\n* Відкрити та вийняти купюри.\n* Закрити та знову покласти в приймач.\n* Переконатися, що мотор приймача купюр включився і горить зелений світлодіод."
ScotApp_1313,"* Перевірити, чи не застряг папір у принтері.\n* Знов заправити папір.\n* Правильно вимкнути та знов увімкнути термінал."
ScotApp_1314,"* Відкрити кришку принтера, вийняти клапті паперу.\n* Закрити кришку.\n* Вставити новий рулон паперу.\n* Заправити в принтер кінець паперової стрічки."
ScotApp_1315,"* Відкрити кришку принтера, перевірити, чи не застряг папір.\n* Закрити кришку принтера, вставити папір."
ScotApp_1316,"* Відкрити кришку принтера, перевірити, чи не застряг папір у показаному місці.\n* Закрити кришку принтера, вставити папір."
ScotApp_1317,Оплата ваучером
ScotApp_1318,Відскануйте ваучери
ScotApp_1319,ВАУЧЕР
ScotApp_1320,Почати оплату ваучером.
ScotApp_1321,Закінчити оплату ваучером. Несплачений залишок.
ScotApp_1322,Помилка сенсора купонів\nНемає зв’язку.
ScotApp_1323,Зберігати вагу
ScotApp_1324,Після операції\nзберігати вагу на вагах.
ScotApp_1325,Покладіть товар на ваги.
ScotApp_1326,ЧАС ВНЕСЕННЯ КУПОНА СПЛИНУВ
ScotApp_1327,Оберіть потрібний звіт і натисніть “Показати звіт”.
ScotApp_1328,Подвійна вага
ScotApp_1330,Товар не упаковано
ScotApp_1331,Shift
ScotApp_1332,Пробіл
ScotApp_1333,Стерти
ScotApp_1334,  Товар не на конвеєрі
ScotApp_1335,Касу закрито
ScotApp_1336,Утиліта
ScotApp_1337,Вийти з SelfServ Checkout
ScotApp_1338,Отримати діагн. файли
ScotApp_1339,Перезавантажити систему
ScotApp_1340,Вимкнути всю систему
ScotApp_1341,Звук
ScotApp_1342,Вибір утиліти
ScotApp_1343,Завантаження Security Manager...
ScotApp_1344,Security Manager завантажено.
ScotApp_1345,Кінець роботи Security Manager...
ScotApp_1346,Каса не в мережі. Спроба відновити зв’язок.
ScotApp_1347,Іде спроба відновити зв’язок
ScotApp_1348,Касу закрито
ScotApp_1349,%s\n %s\nочікується %s %s\nфактично %s %s
ScotApp_1350,%s\nдодано %s %s
ScotApp_1351,%s\nзнято %s %s 
ScotApp_1352,Вставте подарункову картку
ScotApp_1353,Вставте подарункову картку в щілину для купонів.
ScotApp_1354,Візьміть подарункову картку
ScotApp_1355,Залишок
ScotApp_1356,Візьміть картку
ScotApp_1357,Візьміть подарункову картку
ScotApp_1359,Принтер чеків
ScotApp_1360,Ящик для купюр
ScotApp_1361,Модуль решти
ScotApp_1362,Замок
ScotApp_1363,Рядковий дисплей
ScotApp_1364,Зчитувач магнітних чорнил
ScotApp_1365,Зчитувач магнітних карток
ScotApp_1366,Ваги
ScotApp_1367,Сканер
ScotApp_1368,ЦифрПідпис
ScotApp_1369,Різне
ScotApp_1370,Шифратор
ScotApp_1371,Приймач готівки
ScotApp_1372,Приймач монет
ScotApp_1373,ВІЗЬМІТЬ ПОДАРУНКОВУ КАРТКУ
ScotApp_1375,Зміна інф. про товар:\n%s
ScotApp_1376,", %s"
ScotApp_1377,кількість
ScotApp_1378,вага
ScotApp_1379,ціна за од.
ScotApp_1380,ціна
ScotApp_1381,Обробляється...
ScotApp_1382,(Стд)
ScotApp_1383,(Вик)
ScotApp_1384,Мова
ScotApp_1385,Вибір мови
ScotApp_1386,Фатальний збій
ScotApp_1387,Фатальний збій програми.\nПерезапустіть термінал.\n\nПерезапуск терміналу:\n* Повернути замок адміністратора на “S” -АБО- натиснути кнопку “Адміністратор”.\n* Обрати “Перезавантажити систему”.\n* Звернутися до сервісної служби та описати збій.
ScotApp_1388,Навчальна програма
ScotApp_1389,Помилка пристрою введення цифрового підпису
ScotApp_1390,Пристрій не відповідає
ScotApp_1391,"Натиснути “Збій ліквідовано”.\nЯкщо помилка виникає знов, вимкнути і знов увімкнути термінал."
ScotApp_1392,Помилка триколірного індикатора
ScotApp_1393,"Зупинити та перезапустити програму SelfServ Checkout. Якщо помилка виникає знов, звернутися до довідкової служби."
ScotApp_1394,Помилка цифрового інтерфейсу
ScotApp_1395,Увійти в режим “Консультант”
ScotApp_1396,Вийти з режиму “Консультант”
ScotApp_1397,Консультант
ScotApp_1398, Консульт/Навч
ScotApp_1399, Консультант
ScotApp_1402,ВІД’ЄДНАНО ПЕРЕМИЧКУ ЛОТКА ДЛЯ ВІДБРАКОВАНИХ КУПЮР.
ScotApp_1403,"Зупинити та перезапустити програму SelfServ Checkout. Якщо помилка виникає знов, звернутися до технічної служби."
ScotApp_1404,Сервер касових терміналів не працює або працює несинхронно. Вимкніть термінал вимикачем.
ScotApp_1405,Касовий термінал працює несинхронно. Відновіть зв’язок у режимі “Касир”.
ScotApp_1406,Синхр. TB/кас. термінал
ScotApp_1407,ПЕРЕЗАВАНТАЖЕННЯ
ScotApp_1408,КАСИР
ScotApp_1409,Меню “Касир”
ScotApp_1410,Змінити ціну
ScotApp_1411,Змінити кількість
ScotApp_1412,Функції в режимі “Касир”
ScotApp_1413,"Залишилося хвилин, щоб закінчити операцію: #. Невдовзі можливе відключення живлення."
ScotApp_1414,До відновлення живлення каса не працюватиме.
ScotApp_1415,1415unused
ScotApp_1416,"Перевірте, чи є товар набором"
ScotApp_1417,"Якщо так, скасуйте товар у режимі “Касир” і відскануйте штрих-код набору."
ScotApp_1418,Перевищено максимально допустиму вагу.
ScotApp_1419,Набір
ScotApp_1420,Скасувати товар\n%s?
ScotApp_1421,Режим “Касир”
ScotApp_1422,Портативний сканер
ScotApp_1423,Запит на підключення портативного сканеру.
ScotApp_1424,"Щоб підключити портативний сканер, натисніть “Підключити”."
ScotApp_1425,Підключити
ScotApp_1426,%s\n %d - вірно?
ScotApp_1427,Змінити кількість одиниць товару: \n%s
ScotApp_1428,Змінити ціну товару: \n%s
ScotApp_1429,<<<Замало монет. Поповніть.>>>
ScotApp_1430,Скасувати товар
ScotApp_1431,Скасувати все
ScotApp_1432,<<<Замало купюр. Поповніть.>>>
ScotApp_1433,на пакувальних вагах.
ScotApp_1434,Вікові обмеження
ScotApp_1435,Помилка роздавача монет чи купюр
ScotApp_1436,Перевищено ліміт “Не пакувати”
ScotApp_1437,Перевищено ліміт “Знятий товар”
ScotApp_1438,Перевищено ліміт “Новий товар”.
ScotApp_1439,Перевищено ліміт “Пакет/коробка”
ScotApp_1440,Робота з купюрами
ScotApp_1441,Робота з монетами
ScotApp_1442,"Поповнити - натисніть “Внести готівку”, зменшити кількість - натисніть “Вийняти готівку”."
ScotApp_1443,"Поповнити - натисніть “Внести монети”, зменшити кількість - натисніть “Вийняти готівку”."
ScotApp_1444,Зніміть
ScotApp_1445,Зміна кількості
ScotApp_1446,Зменшити кількість
ScotApp_1447,Вийняти готівку
ScotApp_1448,Запас монет
ScotApp_1449,Запас купюр
ScotApp_1450,Замкнути ящик
ScotApp_1451,№ касира
ScotApp_1452,Введіть № і натисніть “Ввести”.
ScotApp_1453,Пароль касира
ScotApp_1454,Введіть пароль і натисніть “Ввести”.
ScotApp_1455,Невірний номер
ScotApp_1456,Невірні номер і пароль касира. \nВведіть ще раз
ScotApp_1457,Лоток заповнено
ScotApp_1458,Звіт системи NCR SelfServ Checkout
